id,activiteit,productgroep,branch,productnummer,omschrijving,categorie,product_flow,aanmaakdatum,status,classificatie,actief
6800,Wissers,Cleanroom trolley,,CM110,Cleanroom trolley kunststof,,,2020-10-13,Actueel,,
6801,Wissers,Cleanroom wisserframes,,CM104,Cleanroom frame Purmop,,,2019-08-22,Actueel,,
6802,Wissers,Cleanroom wisserframes,,CM107,Cleanroom mopframe met steel Klercide,,,2019-10-30,Incourant,,
6803,Wissers,Handwissers,,00W3948,Lavanshandwisser,,,,Actueel,,
6804,Wissers,Handwissers,,0LW0003,Handwisser niet geïmpregneerd,,,,Uitlopend,,
6805,Wissers,Handwissers,,0LW1004,"Lavanshandwisser ",,,,Actueel,,
6806,Wissers,Handwissers,,0LW1020,Lavanshandwisser Light-use grijs,,,,Actueel,,
6807,Wissers,Handwissers,,0LW2004,"Lavanshandwisser ROOD ",,,,Actueel,,
6808,Wissers,Handwissers,,0LW10041,Cadeau Lavanshandwisser,,,2023-12-20,Incourant,,
6809,Wissers,Lightwissers,,F200,Mob Taschen - reinigen eigendom klant (per kilo),,,2022-05-31,Actueel,,
6810,Wissers,Lightwissers,,00W3980,Lightwisser mop grijs 40 cm,,Kleding Bont,,Actueel,,
6811,Wissers,Lightwissers,,00W3981,Lightwisser mopframe 40 cm,,Kleding Bont,,Actueel,,
6812,Wissers,Lightwissers,,00W3990,Mop eigendom klant,,,,Actueel,,
6813,Wissers,Wissers,,CM105,Cleanroom mop Purmop EX40,,,2019-03-04,Actueel,,
6814,Wissers,Wissers,,CM106,Cleanroom mop Purmop EF40-SV II geimpregneerd,,,2019-03-04,Uitlopend,,
6815,Wissers,Wissers,,00W3900,Snelwisser 50 cm,,,,Uitlopend,,
6816,Wissers,Wissers,,00W3901,Snelwisser 75 cm,,,,Uitlopend,,
6817,Wissers,Wissers,,00W3902,Snelwisser 100 cm,,,,Uitlopend,,
6818,Wissers,Wissers,,0LW0004,Lavanswissers 100CM niet geïmpregneerd,,,,Uitlopend,,
6819,Wissers,Wissers,,0LW0005,Lavanswissers 50CM niet geïmpregneerd,,,,Uitlopend,,
6820,Wissers,Wissers,,0LW0006,Lavanswissers 75CM niet geïmpregneerd,,,2021-09-22,Uitlopend,,
6821,Wissers,Wissers,,0LW1000,Lavanswisser 50 cm,,,,Actueel,,
6822,Wissers,Wissers,,0LW1001,Lavanswisser 75 cm,,,,Actueel,,
6823,Wissers,Wissers,,0LW1002,Lavanswisser 100 cm,,,,Actueel,,
6824,Wissers,Wissers,,0LW1021,Lavanswisser Light-use grijs 50 cm,,,,Actueel,,
6825,Wissers,Wissers,,0LW1022,Lavanswisser Light-use grijs 75 cm,,,,Actueel,,
6826,Wissers,Wissers,,0LW1023,Lavanswisser Light-use grijs 100 cm,,,,Actueel,,
6827,Wissers,Wissers,,0LW2000,Lavanswisser ROOD 50 cm,,,,Actueel,,
6828,Wissers,Wissers,,0LW2001,Lavanswisser ROOD 75 cm,,,,Actueel,,
6829,Wissers,Wissers,,0LW2002,Lavanswisser ROOD 100 cm,,,,Actueel,,
6830,Wissers,Wissers,,0LW10001,"Cadeau Lavanswisser paars 50 cm ",,,2023-07-25,Incourant,,
6831,Wissers,Wissers,,0LW10011,"Cadeau Lavanswisser paars 75 cm ",,,2023-07-25,Incourant,,
6832,Wissers,Wissers,,0LW10021,"Cadeau Lavanswisser paars 100 cm ",,,2023-07-25,Incourant,,
6833,Wissers,Wissers,,0LW10211,"Cadeau Lavanswisser Light-use grijs 50 cm ",,,2023-07-25,Incourant,,
6834,Wissers,Wissers,,0LW10221,"Cadeau Lavanswisser Light-use grijs 75 cm ",,,2023-07-25,Incourant,,
6835,Wissers,Wissers,,0LW10231,"Cadeau Lavanswisser Light-use grijs 100 cm ",,,2023-07-25,Incourant,,
6836,Wissers,Wissers,,GGDgordijn2023,gordijn edwin,,Kleding Bont,2023-10-29,Actueel,,
6837,Wissers,Wissers cleanroom,,CM100,Cleanroom mop niet geimpregneerd zwart/grijs MX40 per stuk,,,2019-03-04,Actueel,,
6838,Wissers,Wissers cleanroom,,CM102,Cleanroom mop disposable niet steriel,,,2019-03-04,Actueel,,
6839,Wissers,Wissers cleanroom,,CM108,Cleanroom  Klerwipe CR Steriel 70/30 IPA geimpregneerd,,,2019-03-04,Incourant,,
6840,Wissers,Wissers cleanroom,,CM111,Cleanroom mop eigendom klant,,Kleding Cleanroom,2022-09-15,Actueel,,
6841,Wissers,Wissers opvangbakken,,CT100,Cleanroom trolley 2-emmers,,,2019-08-22,Actueel,,
6842,Wissers,Wissers opvangbakken,,00W3903,Rooster opvangbak 100 cm,,,,Uitlopend,,
6843,Wissers,Wissers opvangbakken,,00W3904,Rooster opvangbak 75 cm,,,,Uitlopend,,
6844,Wissers,Wissers opvangbakken,,00W3905,Rooster opvangbak 50 cm,,,,Uitlopend,,
6845,Wissers,Wissers opvangbakken,,00W3910,Opvangbak snelwisser 50 cm,,,,Uitlopend,,
